Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
OSMI-1,N/A,-1.455,1.346,N/A,0.762,-1.782
ochratoxin A,N/A,-1.434,0.884,1.057,N/A,-1.969
TP73,-0.835,0.428,1.861,0.53,-0.613,-1.077
plumbagin,2,N/A,-0.378,-1.964,N/A,1
retinoid,1.236,1.195,N/A,-1.455,N/A,1.455
PIAS1,N/A,-1.258,-1.204,1.961,0.684,-0.231
emodin,1.98,0.084,1.927,-1.342,N/A,N/A
EIF4EBP2,2.131,N/A,-0.302,-1.422,1.475,N/A
metronidazole,-0.447,1.89,0,-0.707,-1.342,0.943
NPPA,N/A,1.276,N/A,-1.446,-0.412,2.19
SERPINA3,N/A,1.172,N/A,-2.183,N/A,1.969
EHF,N/A,0.819,-2.134,-0.492,0.307,1.566
CYP1A1,N/A,-1.897,-0.714,N/A,1.89,0.816
F10,-1.974,-1.14,N/A,N/A,-2.2,N/A
PAF1,N/A,N/A,2.515,-0.152,2.646,0
FHL2,-0.611,-1.203,0.202,1.065,-0.735,-1.497
ramipril,0.849,N/A,1.014,-2.155,1.294,N/A
olanzapine,N/A,N/A,-2.027,1,-2.236,0.048
PYCARD,N/A,-0.015,-1.703,1.457,0.152,1.982
CBX7,N/A,2.407,N/A,-1.974,0.927,N/A
ANXA2,N/A,-1.105,N/A,2.219,-1.982,N/A
4-nitroquinoline-1-oxide,-1.96,-1.387,-0.785,N/A,-1.165,N/A
tazemetostat,N/A,1.107,1.022,-0.945,-1.423,-0.797
GnRH analog,N/A,-1.604,-1.165,1.069,N/A,-1.441
QKI,N/A,0.535,-1.488,0.306,-2.385,-0.563
GSK3B,-0.125,N/A,0.715,-1.757,-0.773,1.892
napabucasin,N/A,0.252,1.793,-1.664,0.681,0.862
IRF4,N/A,-0.041,-1.367,N/A,-1.705,-2.135
HNRNPK,N/A,-0.594,2.008,1.192,-1.454,N/A
GNRH,N/A,-1.83,0.932,1.985,-0.5,N/A
mir-19 (includes others),0.985,-0.223,0.738,-1.356,1.944,N/A
acadesine,N/A,-1.446,1.492,N/A,1.154,1.154
CALCA,-1.414,0.031,1.168,0.985,-0.277,-1.369
NELFE,N/A,N/A,-1.911,0.868,0.293,2.169
MTDH,N/A,-0.378,-1.424,1.93,-0.866,-0.641
pirinixic acid,-1.438,0.454,0.961,1.087,-0.377,-0.922
ITGB6,N/A,N/A,N/A,2.2,-1.945,-1.091
TLX1,N/A,-2,N/A,N/A,1,2.236
PPARA,0.987,0.017,1.627,-0.095,-0.049,-2.461
miR-9-5p (and other miRNAs w/seed CUUUGGU),N/A,N/A,-0.816,-2.2,2.219,N/A
folic acid,-1.054,-0.273,2.214,1.004,-0.409,-0.279
salinosporamide A,2,N/A,-0.612,-1.964,N/A,0.655
carbamazepine,N/A,-1.782,-0.185,2.219,N/A,-1.044
PD 123319,-1,-1.671,0.156,1.4,0,-1
SAFB,N/A,1,1.481,-2,N/A,-0.745
RUNX2,-1.564,-0.114,-0.93,0.702,-1.801,-0.112
RNY3,N/A,N/A,0.577,N/A,2.646,2
PIK3CD,N/A,-2.219,N/A,2,-1,N/A
MAPKAPK2,-1.949,-1.937,0.034,0.956,-0.342,N/A
BCL2,-0.764,-0.124,-1.959,1.163,-1.195,N/A
ELOVL5,N/A,-1.868,1.108,N/A,2.222,N/A
INHA,-0.128,0.846,0.372,-2.18,0,-1.668
"R-WIN 55,212",N/A,2.003,2.708,N/A,N/A,-0.476
SMTNL1,N/A,-2.438,-1.794,N/A,N/A,0.954
USP8,N/A,N/A,-0.377,N/A,-2.204,-2.595
THBS1,-0.211,-1.562,0.445,0.971,-0.585,-1.402
conjugated linoleic acid,N/A,1.8,-0.047,-1.664,N/A,1.664
estradiol benzoate,N/A,-1.798,N/A,1.387,N/A,-1.982
morin,N/A,1.387,-0.896,-1.664,1.067,0.152
SKP2,0,-1.558,-1.246,1.63,0.248,0.481
IFN gamma,-0.986,N/A,-1.001,0.075,0.838,2.263
IRF9,N/A,N/A,1.023,N/A,2.138,2
RIGI,-2.129,N/A,0.442,1.852,0.738,N/A
tanshinone II,N/A,1.755,1.172,-2.207,N/A,-0.026
ZBTB10,N/A,N/A,1.562,N/A,2.412,1.179
FGF18,N/A,-1.951,-2.186,N/A,-1,N/A
PG3-Oc,N/A,N/A,1.169,1.98,-1.982,N/A
MBD2,N/A,-1.741,-1.566,1.432,-0.391,N/A
INHBB,N/A,-0.655,-2.259,2.216,N/A,N/A
aphidicolin,N/A,N/A,0.981,N/A,2.236,1.912
MASTL,N/A,-1.958,0.193,1.067,1.353,-0.552
GLIS1,N/A,-1.234,-1.905,N/A,N/A,-1.982
IgM,N/A,1.96,-2.051,-0.036,-0.626,-0.447
FUS-DDIT3,N/A,1.134,1.265,-1.134,1.342,0.239
etoposide,1.987,N/A,0.07,-0.194,1.469,1.391
NFATC3,N/A,-2.574,0.544,1.459,-0.532,N/A
GPR39,N/A,2.8,1.026,-1.131,N/A,0.152
HSPA9,-1.067,0.213,-1.479,1.51,-0.447,-0.378
TLR3,-2.591,N/A,0.54,1.666,-0.062,-0.232
NRAS,-1.287,0.746,0.385,0.243,-0.968,-1.459
OICR-9429,N/A,N/A,2.638,N/A,N/A,-2.445
GATA4,-1.664,1.446,0.802,1.023,N/A,-0.148
enalapril,0.788,1.106,0.171,-0.961,1.485,0.57
EIF5A2,-1,1.155,-0.346,1,-1.526,0.05
nelfinavir,1,-0.534,-0.973,1.406,1.077,0.087
EREG,-1.993,-0.883,1.154,1.044,N/A,N/A
MDL 73811,N/A,0.447,1.938,-0.447,N/A,-2.236
PRKCB,-0.905,N/A,0.279,1.601,-1.047,-1.234
STAT6 dimer,N/A,N/A,0.211,1.982,-0.873,-2
FUS,N/A,-0.447,-2.496,N/A,N/A,2.121
CUL1,N/A,1.091,1.964,N/A,N/A,-2
CSF,-2,-0.447,1.265,1.342,N/A,N/A
PRDX5,N/A,2,0.816,N/A,N/A,-2.236
CCNK,N/A,-1.026,-2.165,N/A,N/A,1.856
ENG,-0.009,1.689,-0.984,-0.655,-1.634,-0.074
mir-122 (includes others),N/A,1.758,0.062,-2.121,-1.1,N/A
CAMKK2,N/A,-0.266,0.684,1.964,-0.152,-1.969
MEF2,N/A,-1.71,1.937,1.387,N/A,N/A
N'-((4-oxo-4H-chromen-3-yl)methylene)nicotinohydrazide,N/A,N/A,N/A,-1.982,1.982,1.067
KLF3,0.707,-0.965,0.546,0.535,1.094,-1.183
DLL4,N/A,2.157,N/A,-2.425,-0.447,N/A
ARID1A,1.355,-1.18,-2.008,0.195,-0.168,-0.116
ML290,1,1.414,1.265,-1.342,N/A,N/A
SERPINE1,-1.101,0.744,0.595,1.743,-0.836,0.001
IL12 (complex),-1.353,N/A,-1.43,2.098,-0.135,N/A
MYCN,0.09,1.019,0.935,-1.588,-0.058,1.325
FOSL1,-0.351,-1.588,-0.884,1.109,0.18,-0.898
fluticasone propionate,-0.094,1.06,0.453,1.006,0.555,-1.841
TCF4,0,-2.235,-0.583,-0.202,-1.863,-0.126
MYO6,-1,-0.471,-0.493,2.496,0,0.535
cisplatin,-0.026,-0.378,-2.591,0.964,0.453,-0.571
mir-223,0.375,0.535,-1.391,0.732,-0.538,1.411
alitretinoin,1.498,N/A,0.358,-0.442,-1.656,-1.026
COL5A1,N/A,2.63,2.236,N/A,N/A,0.113
MPV17L,N/A,-1.342,-1.633,2,N/A,N/A
ZC3H11A,N/A,-0.302,-2.449,1.89,N/A,0.333
MFAP5,N/A,1.387,0.619,0.651,-0.816,-1.492
LDLR,N/A,0.913,-0.874,-0.218,-0.978,-1.982
BMAL1,N/A,1.394,1.076,0,-1.497,-0.993
ITGAV,-0.894,N/A,-0.85,1.488,-1.725,N/A
PROM1,N/A,-2.236,0.378,1,1.342,N/A
RICTOR,N/A,N/A,-2.959,N/A,N/A,-1.992
FCGR2A,-1.98,N/A,1.041,0.97,0.956,N/A
salicylic acid,2.014,N/A,N/A,-1.303,1.628,N/A
CCNE1,N/A,-2.049,0.024,0.555,1.969,0.342
Bvht,N/A,1.315,1.374,N/A,-0.478,-1.772
nitrofen,N/A,N/A,-0.466,N/A,2.236,2.236
SULF2,-2,0.447,-0.752,1.592,-0.146,N/A
IL31,-1.961,-0.277,N/A,1.298,N/A,-1.4
cholesterol,-0.916,-0.624,-0.816,2.476,-0.103,N/A
D-galactosamine,N/A,-0.6,0.057,1.89,-0.447,-1.94
UXT,N/A,N/A,2.955,N/A,-0.554,-1.424
evodiamine,2.219,N/A,-0.103,-2,-0.152,0.447
NRG4,N/A,-2.168,0.075,N/A,1.474,1.202
WNT5A,-1.454,0.198,-0.575,0.722,0.552,-1.417
RNF187,-0.218,-0.659,-2.076,1,0,0.962
PCBP2,N/A,-0.391,-2.008,-0.152,1.067,1.294
APLN,-1,-0.11,1.18,N/A,-0.632,-1.988
HRAS,-0.98,-1.874,0.124,1.267,-0.45,-0.214
IGFBP2,N/A,0.282,-1.102,2.219,-1.306,N/A
MFGE8,-1.633,0.113,1.581,1.134,-0.447,N/A
AMBRA1,0.025,0.822,3.002,0.307,-0.102,-0.645
PDGFC,-1.962,N/A,-1,1.941,N/A,N/A
SLC39A8,N/A,0.509,N/A,1.103,-1.103,2.186
ATP2B2,N/A,N/A,1,N/A,2,-1.897
SKIL,N/A,0.712,-1.456,0.946,-1.206,-0.576
thioctic acid,N/A,N/A,1.033,-1.477,2.386,N/A
Hbb-b2,N/A,-1.89,-3,N/A,N/A,N/A
WWOX,N/A,1.954,0.726,-1.951,0.254,N/A
2-chloroadenosine,N/A,1.99,N/A,-1.989,N/A,0.9
EGR2,-0.04,0.834,2.158,-0.31,-0.158,-1.379
SRSF3,N/A,-2.437,0.164,1.987,N/A,-0.29
CD200R1,N/A,N/A,-2.426,-0.447,-0.113,1.89
HMGB1,-1.851,0.031,N/A,2.423,-0.569,N/A
bee venom,-0.698,-0.591,1.146,0.007,-0.263,-2.166
"7-(4-fluorobenzylamino)-1,3,4,8-tetrahydropyrrolo[4,3,2-de]quinolin-8(1H)-one",N/A,2.236,1.633,N/A,N/A,-1
BCAP31,-1.117,N/A,0.472,1.117,-1.725,0.435
ammonium,N/A,-0.164,-1.068,N/A,2.5,1.134
promegestone,-0.756,-0.261,0.493,1.639,0.97,-0.744
TNFSF13B,-0.816,0.119,0.774,2.262,0.393,-0.492
TNFSF10,1.577,N/A,1.776,-0.397,0.535,-0.57
FST,N/A,N/A,2.663,-2.191,N/A,N/A
WWTR1-AS1-204,N/A,-1.59,-0.106,1.982,-0.246,-0.927
AGER,-1.032,N/A,-0.36,1.104,-2.355,N/A
dimethylnitrosamine,N/A,N/A,-1.047,2.213,0.558,-1.028
green tea polyphenol,1.941,-0.493,0.444,-1.109,0.853,N/A
SIRT1,0.616,0.22,0.775,-1.164,0.939,-1.12
ozone,-1.392,N/A,0.223,1.604,-1.614,N/A
pevonedistat,N/A,N/A,-1.947,0.42,-0.492,1.969
mir-373,N/A,2.543,0.384,-1.901,N/A,N/A
PREX1,N/A,-2.828,-1,N/A,-1,0
MUC1,-0.288,0.667,-1.369,-0.897,N/A,1.598
KLF11,1.29,0.78,0.167,-1.074,1.016,-0.492
PPRC1,-2,N/A,N/A,N/A,-0.816,-2
MNT,0,1.89,1.291,-1.633,N/A,N/A
mir-192 (includes others),N/A,2.057,0.391,-1.401,N/A,0.964
HYAL1,N/A,-0.728,-0.728,1.633,0.816,0.905
methylmercury,N/A,1.649,0.919,-1.342,0.896,N/A
miR-7a-5p (and other miRNAs w/seed GGAAGAC),N/A,-0.088,-2.061,N/A,-0.692,1.964
lipofermata,N/A,1.309,0.197,-1.974,0.492,0.831
NFATC2,-1.549,-0.692,0.817,0.457,0.536,0.75
PLAUR,0,0.488,-1.722,-0.055,-1.72,0.811
sucrose,N/A,2.813,N/A,N/A,-1.982,N/A
WNT1,-0.441,-0.61,0.222,1.303,-1.011,-1.205
allopurinol,N/A,-1.838,-0.314,1.66,0.971,N/A
calcineurin A,N/A,-0.64,0.351,2.449,-1.342,N/A
FBXW7,0.243,0.037,-0.55,-1.221,2.215,-0.515
RASSF1,-0.647,0.889,-0.644,0.466,-1.773,0.359
EZH2,-1.184,0.251,-0.753,1.62,-0.701,-0.266
PAX3-FOXO1,0,0.329,-0.292,-2.929,-0.908,0.316
"S-(2,3-bispalmitoyloxypropyl)-cysteine-GDPKHPKSF",-2,N/A,N/A,2.219,-0.555,N/A
NFATC1,N/A,-2.383,N/A,2.39,N/A,N/A
seocalcitol,-0.594,-0.46,0.821,0.691,0.816,-1.382
NR0B2,1.352,-0.769,N/A,N/A,2.643,N/A
PALMD,N/A,N/A,-1.964,N/A,-0.849,-1.951
TAS4464,0.625,-1.265,0.288,0.816,-0.816,0.946
bardoxolone,1.325,N/A,-1.087,-0.192,-1.522,0.626
"1,2-dimethylhydrazine",N/A,-2.194,N/A,1.98,-0.577,N/A
STAT2,N/A,N/A,0.817,N/A,1.964,1.969
TRIM24,N/A,N/A,-1.176,N/A,-2.244,-1.328
SGPL1,N/A,-0.282,0.511,N/A,2.209,1.746
ITGB3,0.946,0.203,-0.083,1.09,-0.453,-1.961
FOXO3,0.382,1.189,0.362,-0.596,-1.28,-0.926
CFB,N/A,-2.271,0,1.4,0.243,-0.816
disulfiram,N/A,1.818,1.547,N/A,N/A,-1.364
CDKN1B,-1.176,-0.576,-0.244,-0.915,1.726,-0.089
EFNA2,1.134,1.732,-0.775,0.707,N/A,-0.378
CHGA,N/A,0.555,-2.183,N/A,N/A,1.982
SEMA7A,N/A,-1.195,-0.711,2.813,N/A,N/A
EBF1,-0.663,0.523,1.484,0.399,-1.65,N/A
MAP2K3,N/A,-0.004,-1.353,1.387,-1.005,0.97
melatonin,1.195,2.201,N/A,-1.322,N/A,N/A
CCN4,N/A,N/A,-1.584,2.132,-1,N/A
DPP4,N/A,N/A,-1.271,1.87,-1.568,N/A
PDK1,N/A,0.832,-0.479,0.707,-0.378,-2.309
STAT5A/B,-0.311,0.662,-1.962,1.24,-0.095,-0.43
ARHGDIG,N/A,1.633,-0.378,-1.342,N/A,1.342
(-)-norephedrine,N/A,2.236,N/A,N/A,-2.449,N/A
N-Ac-Leu-Leu-norleucinal,-0.173,0.477,-1.211,0.633,-0.48,1.71
sphingomyelin,N/A,-1.342,1.342,N/A,2,N/A
TNFAIP8,N/A,N/A,1.643,N/A,1.342,-1.698
ZBTB16,-1,1.86,1.458,-0.36,N/A,N/A
NOTCH,-0.686,-0.416,-0.577,-0.458,-0.175,2.36
ZC3H12A,-1.154,0.949,0.594,0.693,-0.457,-0.824
collagen alpha1,-1.281,-1.314,0.114,N/A,-1.958,N/A
GW501516,-0.849,0.566,0.879,0.192,0.211,-1.969
ACSS2,N/A,0.132,N/A,N/A,-2,-2.534
GNAS,-1.437,-0.211,-1.074,1.299,-0.132,-0.512
HEXIM1,N/A,1.974,-0.605,N/A,-0.106,1.974
rosuvastatin,N/A,2.538,N/A,N/A,-2.121,N/A
oleic acid,2.059,0.465,-0.678,-0.458,0.927,-0.07
memantine,N/A,-1.911,-1.115,N/A,N/A,1.627
irbesartan,N/A,0.788,0.514,-1.131,N/A,2.213
1-palmitoyl-2-oleoylphosphatidylserine,N/A,N/A,N/A,2,N/A,-2.646
HMOX1,1.706,1.652,-0.065,-0.728,-0.263,-0.229
LRP6,N/A,N/A,0.178,1.706,-1.31,-1.446
halofuginone,N/A,-0.751,1.613,-0.662,1.613,N/A
resolvin D1,0.829,1.933,N/A,-1.446,-0.43,N/A
MCPH1,N/A,-2.191,-1.352,1.091,N/A,N/A
KCNJ10,N/A,-1.633,N/A,2,N/A,-1
HIF1A-AS1,N/A,1,-1.633,-2,N/A,N/A
TFAP2C,0.798,1.454,-0.666,-1.234,0.198,0.282
copper gluconate,N/A,1.546,1.718,N/A,N/A,-1.364
S1PR3,N/A,-2.207,0.155,1.981,N/A,0.284
PDGFRB,N/A,-0.162,1.134,1.83,0.192,-1.308
M344,N/A,0,0.954,2,N/A,-1.667
RND3,N/A,-0.555,2.121,0.555,N/A,-1.387
ROCK1,N/A,-0.538,0.214,2.608,-1.258,N/A
PXDN,N/A,2,-0.378,-2.236,0,N/A
LIN28A,-1.166,0.169,-0.331,1.799,-1.113,0.036
mir-7 (includes others),N/A,N/A,N/A,-1.938,0.726,1.948
TLR,-2.41,N/A,N/A,2.2,N/A,N/A
PSMD10,N/A,-1.446,0.295,N/A,1.467,-1.4
GATA6,0.765,0.186,-1.641,1.928,N/A,0.072
MAFB,N/A,1.848,-0.402,0.183,-1.411,-0.747
NR4A1,-0.283,0.767,-1.109,-0.888,-0.547,0.996
FOXC1,1.134,N/A,0.887,-0.168,1.949,-0.447
THRA,-1.455,0.299,0.691,1.492,-0.129,-0.517
ribavirin,N/A,N/A,2.916,N/A,1.664,N/A
CHD7,N/A,2,-1.425,-1.153,N/A,N/A
histone deacetylase,-1.067,-0.896,0.711,1.067,0.555,0.277
SMAD2/3,N/A,N/A,N/A,2.449,-2.121,N/A
SFN,N/A,-1.188,-1.411,0.97,1,N/A
GRN,N/A,-1.442,1.278,N/A,1.499,-0.35
APC,N/A,-0.184,0.431,-0.651,1.211,2.089
entinostat,1.504,0.092,-0.478,-1.123,1.118,0.249
IKBKE,-0.36,N/A,-0.421,2.603,-0.668,-0.502
3-methylcholanthrene,N/A,-2.567,N/A,1.98,N/A,N/A
RXRA,1.129,-0.198,N/A,-0.996,1.589,-0.634
BRD7,N/A,-1.698,-0.864,1.982,N/A,N/A
DAXX,N/A,1.129,0.174,-1.982,-1.129,-0.128
AXL,-1.982,N/A,N/A,1.172,-1.387,N/A
mir-133 (includes others),N/A,N/A,1.802,-1.89,N/A,-0.847
ERFE,N/A,1.38,N/A,-1.98,-1.176,N/A
TP53BP2,-1,-1.387,1.144,1,N/A,N/A
LIPE,0.655,1.432,1.546,-0.412,-0.25,-0.234
PLAG1,N/A,-0.412,0.498,0.762,-0.896,-1.961
tributyltin,N/A,0.588,-1.236,1.067,1.633,N/A
IL1R1,-1.109,N/A,N/A,1.238,-2.177,N/A
nocodazole,1.46,N/A,0.022,1.261,-0.821,0.951
quercetin,-0.141,1.487,1.154,-0.406,-1.039,-0.285
HSPA5,N/A,1.426,-0.612,N/A,-1.945,-0.526
nitroprusside,-0.831,0.186,-0.517,0.57,-1.746,0.658
SIAH2,N/A,0.431,-0.1,-1.109,2.216,-0.651
FGFR4,N/A,0.41,1.127,N/A,-1.969,-1
USP39,N/A,2.207,0.444,N/A,1.091,0.763
parthenolide,N/A,N/A,-1.916,-1.498,0,1.091
NKX2-1,0.927,N/A,N/A,-1.59,N/A,1.987
SATB2,N/A,1.599,1.748,-1.154,N/A,N/A
PHACTR1,-0.816,-1.732,-0.535,1.134,-0.277,0
CA9,N/A,N/A,-2.54,N/A,N/A,1.941
CYP51A1,N/A,-2,1.633,N/A,0.847,N/A
paclitaxel,0.321,-0.04,0.992,1.25,-0.509,-1.366
miR-200b-3p (and other miRNAs w/seed AAUACUG),N/A,-2.038,0.221,-0.986,N/A,1.227
NELFCD,N/A,N/A,-2.236,N/A,0,2.236
galactose,N/A,-0.493,-1.143,1.633,-0.677,0.526
isoquercitrin,N/A,2.236,N/A,N/A,-2.236,N/A
NELFA,N/A,N/A,-2.236,N/A,0,2.236
glutamine,0.807,0.828,0.194,-0.816,0.923,0.903
miR-139-5p (miRNAs w/seed CUACAGU),N/A,N/A,1.865,-2.198,0.405,N/A
OGA,-0.649,0.768,-1.283,0.507,-0.156,1.103
isoprenaline,-1.715,N/A,N/A,1.51,-0.513,-0.728
proteasome inhibitor PSI,N/A,N/A,N/A,1.342,-2.236,-0.885
RAR/RXR/retinoic acid,N/A,N/A,N/A,1.067,-0.97,-2.425
raloxifene,0.512,-1.482,2.164,0.037,-0.038,-0.221
pidnarulex,N/A,0.258,0.07,N/A,2.236,-1.89
trastuzumab,N/A,1.706,0.231,-1.4,-0.186,0.928
miR-19b-3p (and other miRNAs w/seed GUGCAAA),N/A,-0.744,-1.288,N/A,N/A,2.418
RORA,-0.714,0.097,-0.925,0.157,0.905,1.652
PDCD1,N/A,N/A,N/A,-2.449,2,0
isoliquiritigenin,1.981,0.666,0.06,N/A,1.741,N/A
propofol,N/A,N/A,1.485,-2.236,-0.726,N/A
ST8SIA1,N/A,2.224,2.219,N/A,N/A,N/A
paricalcitol,N/A,1.657,0.165,-2.621,N/A,N/A
HELLS,N/A,1.5,0.75,-0.378,-0.905,0.905
ARNT2,N/A,-0.539,0.289,2.714,-0.894,N/A
adenosine,N/A,-0.042,0.303,0.845,-2.332,-0.912
SPIB,-2.236,0.667,0.175,0.557,-0.799,N/A
IFN lambda,N/A,N/A,2.433,N/A,2,N/A
BGN,N/A,-1.238,-1.656,-0.128,N/A,-1.408
CHD4,N/A,-0.535,0.336,0,2.236,-1.32
mir-24 (includes others),1.172,-1.813,-0.303,0.539,N/A,-0.591
FERMT2,N/A,0.279,-0.119,1.957,-0.823,-1.239
NFYA,-1,0.647,0.759,1.103,-0.816,0.092
lipid A,-1.982,N/A,N/A,N/A,-2.433,N/A
EWSR1,N/A,N/A,-0.017,2.345,0.555,1.492
mir-17 (includes others),1.103,0.304,0.018,-2.139,0.131,-0.71
CYP1B1,N/A,-1.313,0.686,N/A,2.402,0
dicarbethoxydihydrocollidine,N/A,0.323,-2.072,N/A,N/A,2
alvespimycin,N/A,-1.353,N/A,N/A,1.069,1.969
EGLN2,N/A,0.949,0.161,-2.138,0.307,0.835
PPP2CA,-1,N/A,-1.676,N/A,-1.709,N/A
NGLY1,N/A,N/A,N/A,N/A,-2.169,-2.215
ALKBH5,N/A,-1.386,-1.16,0.711,0.974,0.148
PIM1,0.243,1.569,-0.048,1.019,-1.497,N/A
sorbitol,-1.948,N/A,0.178,0.295,N/A,-1.948
prostaglandin J2,1.964,0.105,-0.298,N/A,N/A,2
TRIB3,N/A,1.066,0.858,0.152,-1.912,-0.378
L1CAM,N/A,N/A,-2.385,N/A,-1.98,N/A
ATG7,1.718,0.561,0.13,0.141,-0.041,-1.771
p70 S6k,N/A,1.405,1.698,N/A,0.126,-1.132
SERPINF1,1.109,0.642,-1.667,0.61,N/A,-0.333
SOX4,N/A,-0.572,-0.948,2.784,-0.026,-0.029
cuprizone,N/A,0.103,-0.851,0.846,1.155,-1.403
PPARGC1B,N/A,1.793,N/A,N/A,-2.554,N/A
PRDM16,N/A,N/A,-1.324,1.067,-1.953,N/A
CAV1,-0.439,-1.916,-0.355,1.589,N/A,-0.042
KLF4,0.026,-0.23,0.433,0.798,0.649,-2.203
homocysteine,-0.445,-0.012,1.809,0,-0.421,-1.652
NB115,N/A,N/A,1.89,N/A,N/A,-2.449
anisomycin,-0.391,-0.61,0.209,0.865,-2.205,0.057
NELFB,1,0.447,-1.89,N/A,N/A,1
PTN,N/A,0.535,N/A,N/A,-0.816,-2.985
ANXA7,N/A,0.258,-0.408,N/A,-2,-1.667
ID2,0.024,-2.113,-0.492,1.067,0.596,-0.038
Laminin (complex),0.137,-0.121,0.418,-0.728,-1.785,-1.141
EPHX2,N/A,-1.244,0.335,0.926,N/A,-1.82
IL22,-2.219,-2.101,N/A,N/A,N/A,N/A
ETS2,-0.294,N/A,N/A,1.813,-2.204,N/A
SOX9,0.552,0.902,-1.572,0.428,0.47,0.386
XIAP,-0.6,N/A,2.088,0.6,0.441,-0.581
ATF6,N/A,-1.943,-0.102,N/A,-0.201,-2.062
TFDP1,N/A,N/A,-1.906,N/A,N/A,2.401
dimethyl sulfoxide,N/A,-0.051,0.345,1.937,-1.423,-0.548
PFKFB3,N/A,0.301,N/A,N/A,-2.215,-1.787
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",-1.253,-0.826,-0.46,0.773,-0.766,-0.222
levodopa,-1.682,-0.233,1.826,-0.333,0.043,0.182
STUB1,0,N/A,1.134,-2.412,0.174,0.576
HNRNPU,0.57,-0.634,-1.517,-0.784,0.788,N/A
SQSTM1,-1.387,-0.447,0.145,0.128,-1.82,0.365
TCF20,N/A,-1.069,0.655,-0.447,N/A,2.121
urethane,N/A,-1.27,-0.018,1.968,0.141,-0.894
adenine,N/A,-1.118,-0.798,1.981,N/A,-0.393
LRPAP1,N/A,0.64,-1.876,0.152,-1.067,-0.555
SRSF1,1.964,1.071,-0.686,-0.154,N/A,-0.404
acetaldehyde,N/A,-1.951,0.137,2.186,N/A,N/A
G-1,N/A,N/A,N/A,N/A,-2.368,-1.903
BAP1,N/A,1.291,-1.533,-0.306,-0.371,0.768
aldesleukin,1.029,N/A,-1.906,N/A,N/A,1.331
KN 93,N/A,N/A,-0.807,-2,N/A,1.457
lipoxin A4,1.091,N/A,-0.778,-1.219,N/A,1.176
3-aminobenzamide,N/A,N/A,2.264,-2,N/A,N/A
staurosporine,0.366,1.555,0.16,-1.77,0.411,N/A
cycloheximide,0.085,0.489,0.109,-1.564,0.827,1.186
ATF1,N/A,-1.982,1.041,N/A,N/A,-1.231
miR-135a-5p (and other miRNAs w/seed AUGGCUU),N/A,0.427,-0.626,N/A,0.985,2.215
CIRBP,N/A,-2.363,-0.196,1.57,0.122,N/A
corticosterone,-0.239,-1.039,-0.584,0.813,0.464,-1.105
FADD,0.333,-0.832,0.201,-0.378,2.5,N/A
Fc gamma receptor,-2.186,N/A,N/A,1.951,0.106,N/A
BRCA1,1.138,-0.787,-1.057,0.676,-0.46,0.12
TIAL1,N/A,2,N/A,N/A,-2.236,N/A
maprotiline,N/A,2,N/A,N/A,N/A,2.236
PDGF-DD,N/A,-2.121,0.113,N/A,N/A,-2
ERBB3,-0.156,0.353,-0.536,0.951,-1.374,-0.862
HOXA10,1.026,0.313,-1.315,-0.847,0.392,0.338
TFPI2,-1,N/A,-0.102,1,-2,0.128
stattic,1.98,N/A,0.036,-2.213,N/A,N/A
tranilast,N/A,2.449,-0.539,-0.849,N/A,0.391
MKI67,N/A,N/A,-2.22,N/A,N/A,2
PCYT2,N/A,-2.236,-0.632,N/A,1.342,N/A
CDKN1C,N/A,2.213,0.842,N/A,N/A,-1.154
PGR,-0.094,1.642,1.466,0.202,0.525,-0.275
IGF2,0.762,-0.428,-0.518,0.205,0.312,-1.977
cyclin E,N/A,N/A,-2.219,N/A,N/A,1.982
coomassie brilliant blue G-250,N/A,1.982,N/A,-2.219,N/A,N/A
MAVS,N/A,N/A,0.829,1.414,1.956,N/A
UBA7,N/A,N/A,-2.205,N/A,-1.992,N/A
DUSP11,N/A,N/A,N/A,N/A,-1.982,-2.213
dactolisib,N/A,1.87,-0.453,N/A,-0.277,1.591
DLL1,N/A,-0.894,-2.288,1.009,N/A,N/A
PIEZO1,N/A,N/A,-2.209,1.98,N/A,N/A
PER2,N/A,2.213,N/A,N/A,N/A,1.974
everolimus,0.851,N/A,0.378,-2.082,0.873,N/A
brefeldin A,-1.987,N/A,N/A,0.714,-1.477,N/A
ADIPOQ,1.022,0.244,1.295,-0.321,0.583,-0.709
POU4F1,N/A,N/A,N/A,1.969,-2.2,N/A
CpG ODN 1668,-1.969,N/A,N/A,2.2,N/A,N/A
methamphetamine,-1.94,N/A,0.831,1.319,0.079,N/A
manganese,1,-0.51,0.537,0.444,1.495,0.18
HOXC6,N/A,-0.102,-1.72,N/A,-1,-1.342
decursin,N/A,2.2,N/A,-1.964,N/A,N/A
IFNAR,N/A,N/A,0.613,N/A,2.062,1.488
miR-92a-3p (and other miRNAs w/seed AUUGCAC),0.292,-0.521,1.158,N/A,0.139,2.053
MDM4,N/A,N/A,-1.248,1.342,N/A,1.572
hemin,1.944,N/A,N/A,-1.714,-0.501,N/A
COL6A1,N/A,1.068,1.83,N/A,N/A,-1.257
IFNL4,N/A,N/A,1.745,N/A,2.409,N/A
